
Overall
 ==================== 
Variable,Value,Unit,Class,Time,ID,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,58,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,60,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,61,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,62,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,63,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,64,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,65,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,66,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,67,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,68,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,69,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,70,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,71,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,72,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,74,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,75,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,76,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,77,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,78,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,79,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,80,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,81,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,82,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,83,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,84,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,85,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,86,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,87,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,88,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,89,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,90,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,91,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,92,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,93,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,94,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,95,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,96,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,97,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,98,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,99,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,100,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,101,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,102,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,103,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,104,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,105,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,106,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,107,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,108,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,109,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,110,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,111,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,112,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,113,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,114,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,115,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,116,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,117,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,118,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,119,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,120,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,121,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,122,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,123,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,124,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,125,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,126,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,127,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,128,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,129,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,130,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,131,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,132,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,133,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,134,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,135,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,136,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,137,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,138,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,139,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,140,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,141,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,142,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,143,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,144,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,145,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,146,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,147,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,148,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,149,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,150,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,151,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,152,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,153,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,154,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,155,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,156,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,157,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,158,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,159,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,160,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,161,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,162,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,163,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,164,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,165,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,166,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,167,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,168,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,169,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,170,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,171,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,172,,
Total Number of Spots,231.000,,,,,
